,classify
2995,2
2996,1
2997,4
2998,1
2999,0
3000,2
3001,2
3002,4
3003,1
3004,0
3005,4
3006,1
3007,4
3008,3
3009,2
3010,2
3011,1
3012,0
3013,2
3014,1
3015,0
3016,0
3017,3
3018,4
3019,4
3020,2
3021,4
3022,2
3023,1
3024,1
3025,1
3026,3
3027,4
3028,3
3029,1
3030,1
3031,3
3032,2
3033,0
3034,3
3035,1
3036,3
3037,0
3038,3
3039,4
3040,3
3041,1
3042,4
3043,0
3044,4
3045,3
3046,4
3047,2
3048,2
3049,2
3050,4
3051,3
3052,1
3053,2
3054,0
3055,1
3056,3
3057,3
3058,3
3059,1
3060,0
3061,1
3062,3
3063,3
3064,3
3065,3
3066,0
3067,4
3068,3
3069,3
3070,4
3071,2
3072,4
3073,3
3074,0
3075,3
3076,3
3077,2
3078,2
3079,3
3080,0
3081,0
3082,2
3083,0
3084,3
3085,2
3086,0
3087,3
3088,0
3089,4
3090,1
3091,1
3092,4
3093,4
3094,1
3095,3
3096,3
3097,3
3098,4
3099,1
3100,3
3101,2
3102,1
3103,1
3104,2
3105,3
3106,3
3107,2
3108,3
3109,0
3110,3
3111,3
3112,1
3113,3
3114,1
3115,2
3116,3
3117,4
3118,4
3119,1
3120,1
3121,3
3122,1
3123,4
3124,0
3125,0
3126,3
3127,3
3128,3
3129,1
3130,0
3131,2
3132,2
3133,3
3134,3
3135,4
3136,2
3137,0
3138,3
3139,2
3140,3
3141,2
3142,3
3143,1
3144,3
3145,3
3146,4
3147,1
3148,2
3149,3
3150,1
3151,3
3152,3
3153,2
3154,3
3155,1
3156,1
3157,4
3158,2
3159,2
3160,3
3161,0
3162,4
3163,2
3164,0
3165,0
3166,3
3167,0
3168,0
3169,3
3170,4
3171,2
3172,1
3173,0
3174,3
3175,0
3176,1
3177,1
3178,2
3179,0
3180,3
3181,3
3182,3
3183,3
3184,4
3185,3
3186,4
3187,4
3188,2
3189,4
3190,0
3191,2
3192,3
3193,4
3194,1
3195,4
3196,3
3197,3
3198,2
3199,2
3200,0
3201,0
3202,0
3203,3
3204,4
3205,2
3206,3
3207,3
3208,0
3209,3
3210,4
3211,4
3212,1
3213,3
3214,2
3215,3
3216,3
3217,3
3218,0
3219,1
3220,0
3221,1
3222,3
3223,1
3224,1
3225,3
3226,1
3227,2
3228,0
3229,3
3230,4
3231,2
3232,4
3233,1
3234,1
3235,0
3236,3
3237,2
3238,4
3239,4
3240,1
3241,2
3242,3
3243,2
3244,3
3245,2
3246,2
3247,3
3248,2
3249,2
3250,2
3251,2
3252,3
3253,1
3254,0
3255,2
3256,4
3257,3
3258,3
3259,1
3260,3
3261,2
3262,3
3263,1
3264,3
3265,2
3266,4
3267,0
3268,2
3269,4
3270,1
3271,1
3272,1
3273,1
3274,4
3275,2
3276,0
3277,3
3278,3
3279,2
3280,2
3281,2
3282,4
3283,2
3284,3
3285,2
3286,2
3287,4
3288,1
3289,1
3290,1
3291,0
3292,1
3293,1
3294,4
3295,0
3296,3
3297,0
3298,3
3299,4
3300,0
3301,3
3302,3
3303,3
3304,3
3305,3
3306,3
3307,2
3308,0
3309,4
3310,3
3311,3
3312,4
3313,3
3314,3
3315,3
3316,1
3317,3
3318,3
3319,2
3320,2
3321,1
3322,1
3323,1
3324,0
3325,2
3326,3
3327,3
3328,3
3329,2
3330,3
3331,2
3332,3
3333,0
3334,2
3335,4
3336,3
3337,4
3338,0
3339,0
3340,3
3341,3
3342,3
3343,3
3344,2
3345,2
3346,1
3347,0
3348,4
3349,2
3350,1
3351,3
3352,4
3353,0
3354,3
3355,1
3356,2
3357,4
3358,3
3359,4
3360,4
3361,1
3362,1
3363,3
3364,4
3365,4
3366,1
3367,2
3368,3
3369,4
3370,0
3371,2
3372,1
3373,1
3374,1
3375,4
3376,2
3377,2
3378,4
3379,4
3380,4
3381,1
3382,3
3383,1
3384,1
3385,1
3386,1
3387,1
3388,1
3389,2
3390,2
3391,1
3392,3
3393,1
3394,4
3395,4
3396,0
3397,0
3398,0
3399,1
3400,0
3401,0
3402,1
3403,2
3404,1
3405,2
3406,3
3407,2
3408,3
3409,2
3410,1
3411,3
3412,2
3413,1
3414,1
3415,0
3416,3
3417,3
3418,2
3419,2
3420,2
3421,0
3422,0
3423,4
3424,0
3425,1
3426,3
3427,1
3428,1
3429,4
3430,4
3431,1
3432,2
3433,2
3434,3
3435,0
3436,4
3437,1
3438,0
3439,3
3440,2
3441,3
3442,1
3443,2
3444,3
3445,0
3446,2
3447,1
3448,1
3449,0
3450,4
3451,2
3452,2
3453,3
3454,0
3455,1
3456,1
3457,2
3458,3
3459,2
3460,1
3461,2
3462,4
3463,0
3464,1
3465,2
3466,1
3467,3
3468,0
3469,0
3470,1
3471,2
3472,1
3473,1
3474,3
3475,4
3476,3
3477,0
3478,2
3479,1
3480,3
3481,3
3482,4
3483,1
3484,4
3485,4
3486,1
3487,3
3488,4
3489,3
3490,3
3491,1
3492,0
3493,3
3494,2
3495,4
3496,3
3497,3
3498,1
3499,3
3500,3
3501,2
3502,1
3503,3
3504,1
3505,1
3506,3
3507,2
3508,3
3509,1
3510,1
3511,0
3512,4
3513,1
3514,2
3515,4
3516,2
3517,0
3518,3
3519,1
3520,1
3521,1
3522,2
3523,0
3524,0
3525,1
3526,1
3527,1
3528,2
3529,1
3530,0
3531,3
3532,3
3533,3
3534,2
3535,3
3536,0
3537,1
3538,4
3539,4
3540,1
3541,3
3542,4
3543,0
3544,1
3545,1
3546,2
3547,1
3548,1
3549,1
3550,1
3551,4
3552,3
3553,1
3554,1
3555,1
3556,1
3557,1
3558,3
3559,2
3560,0
3561,4
3562,1
3563,4
3564,2
3565,1
3566,0
3567,1
3568,1
3569,2
3570,3
3571,1
3572,2
3573,4
3574,1
3575,4
3576,1
3577,2
3578,1
3579,3
3580,2
3581,3
3582,1
3583,1
3584,1
3585,1
3586,1
3587,1
3588,3
3589,3
3590,2
3591,4
3592,2
3593,4
3594,3
3595,0
3596,1
3597,1
3598,1
3599,1
3600,4
3601,3
3602,1
3603,3
3604,3
3605,1
3606,1
3607,0
3608,2
3609,0
3610,3
3611,2
3612,3
3613,1
3614,2
3615,2
3616,0
3617,1
3618,0
3619,1
3620,1
3621,1
3622,2
3623,1
3624,2
3625,4
3626,1
3627,2
3628,4
3629,3
3630,3
3631,3
3632,4
3633,1
3634,3
3635,1
3636,4
3637,4
3638,2
3639,3
3640,2
3641,3
3642,3
3643,3
3644,1
3645,0
3646,1
3647,2
3648,2
3649,0
3650,4
3651,3
3652,4
3653,4
3654,3
3655,3
3656,3
3657,4
3658,4
3659,3
3660,2
3661,3
3662,1
3663,1
3664,2
3665,3
3666,1
3667,3
3668,4
3669,1
3670,0
3671,3
3672,1
3673,1
3674,1
3675,2
3676,1
3677,1
3678,3
3679,0
3680,3
3681,2
3682,2
3683,1
3684,0
3685,4
3686,4
3687,4
3688,2
3689,3
3690,0
3691,1
3692,3
3693,1
3694,0
3695,2
3696,3
3697,1
3698,4
3699,3
3700,3
3701,1
3702,3
3703,4
3704,3
3705,1
3706,1
3707,2
3708,2
3709,3
3710,2
3711,1
3712,1
3713,4
3714,4
3715,3
3716,3
3717,2
3718,2
3719,3
3720,1
3721,3
3722,0
3723,3
3724,1
3725,4
3726,0
3727,1
3728,4
3729,3
3730,2
3731,1
3732,4
3733,1
3734,4
3735,3
3736,4
3737,0
3738,4
3739,4
3740,0
3741,1
3742,3
3743,1
3744,2
3745,2
3746,0
3747,3
3748,1
3749,1
3750,1
3751,3
3752,3
3753,2
3754,1
3755,3
3756,1
3757,2
3758,1
3759,1
3760,1
3761,4
3762,2
3763,0
3764,1
3765,4
3766,2
3767,2
3768,4
3769,3
3770,4
3771,1
3772,3
3773,4
3774,1
3775,3
3776,3
3777,4
3778,2
3779,0
3780,4
3781,3
3782,4
3783,1
3784,3
3785,4
3786,3
3787,1
3788,3
3789,4
3790,1
3791,2
3792,1
3793,4
3794,1
3795,4
3796,3
3797,3
3798,1
3799,1
3800,0
3801,1
3802,2
3803,1
3804,2
3805,2
3806,1
3807,3
3808,4
3809,1
3810,1
3811,3
3812,4
3813,4
3814,4
3815,4
3816,2
3817,1
3818,4
3819,1
3820,0
3821,1
3822,2
3823,0
3824,1
3825,1
3826,1
3827,1
3828,4
3829,1
3830,1
3831,1
3832,1
3833,4
3834,3
3835,3
3836,3
3837,1
3838,3
3839,2
3840,1
3841,0
3842,1
3843,3
3844,0
3845,1
3846,2
3847,2
3848,2
3849,2
3850,4
3851,3
3852,3
3853,3
3854,1
3855,2
3856,3
3857,2
3858,1
3859,1
3860,0
3861,2
3862,0
3863,3
3864,3
3865,2
3866,1
3867,3
3868,2
3869,4
3870,3
3871,2
3872,1
3873,2
3874,2
3875,2
3876,0
3877,4
3878,2
3879,1
3880,1
3881,0
3882,3
3883,1
3884,3
3885,3
3886,3
3887,3
3888,2
3889,2
3890,3
3891,2
3892,2
3893,4
3894,3
3895,1
3896,1
3897,2
3898,1
3899,2
3900,2
3901,1
3902,3
3903,3
3904,1
3905,2
3906,2
