,classify
799,2
800,2
801,1
802,3
803,1
804,3
805,1
806,4
807,1
808,0
809,2
810,1
811,0
812,1
813,3
814,1
815,3
816,1
817,1
818,3
819,3
820,1
821,2
822,2
823,1
824,0
825,2
826,3
827,0
828,3
829,1
830,1
831,0
832,1
833,0
834,3
835,3
836,0
837,3
838,0
839,2
840,4
841,2
842,3
843,4
844,2
845,3
846,1
847,0
848,4
849,2
850,1
851,0
852,3
853,3
854,1
855,4
856,4
857,3
858,2
859,4
860,2
861,0
862,3
863,3
864,4
865,2
866,4
867,1
868,4
869,1
870,1
871,3
872,1
873,1
874,2
875,3
876,1
877,1
878,1
879,4
880,0
881,3
882,3
883,4
884,1
885,3
886,1
887,1
888,3
889,2
890,4
891,0
892,3
893,0
894,1
895,3
896,1
897,3
898,1
899,4
900,1
901,1
902,1
903,1
904,1
905,1
906,3
907,1
908,4
909,1
910,3
911,3
912,3
913,3
914,3
915,3
916,1
917,1
918,4
919,1
920,3
921,1
922,1
923,4
924,1
925,1
926,3
927,1
928,3
929,3
930,0
931,3
932,1
933,1
934,3
935,3
936,1
937,3
938,4
939,2
940,2
941,1
942,4
943,1
944,3
945,2
946,3
947,2
948,3
949,1
950,1
951,1
952,3
953,3
954,0
955,1
956,3
957,2
958,0
959,1
960,2
961,1
962,1
963,0
964,1
965,4
966,2
967,1
968,1
969,2
970,2
971,3
972,3
973,0
974,2
975,1
976,3
977,4
978,2
979,3
980,1
981,1
982,4
983,3
984,1
985,4
986,2
987,3
988,2
989,3
990,1
991,2
992,4
993,1
994,1
995,1
996,3
997,1
998,1
999,3
1000,1
1001,0
1002,1
1003,1
1004,1
1005,1
1006,3
1007,3
1008,4
1009,0
1010,2
1011,0
1012,3
1013,1
1014,3
1015,1
1016,3
1017,1
1018,1
1019,1
1020,3
1021,3
1022,3
1023,2
1024,3
1025,2
1026,3
1027,0
1028,3
1029,1
1030,4
1031,3
1032,1
1033,2
1034,4
1035,1
1036,1
1037,2
1038,2
1039,3
1040,3
1041,1
1042,3
1043,1
1044,3
1045,3
1046,3
1047,0
1048,4
1049,0
1050,1
1051,4
1052,1
1053,1
1054,1
1055,4
1056,1
1057,3
1058,1
1059,1
1060,0
1061,1
1062,3
1063,3
1064,1
1065,2
1066,2
1067,1
1068,1
1069,4
1070,1
1071,4
1072,2
1073,3
1074,1
1075,1
1076,1
1077,4
1078,4
1079,3
1080,3
1081,3
1082,1
1083,2
1084,1
1085,3
1086,1
1087,4
1088,1
1089,3
1090,0
1091,4
1092,0
1093,3
1094,2
1095,3
1096,0
1097,3
1098,2
1099,1
1100,1
1101,3
1102,3
1103,0
1104,4
1105,3
1106,2
1107,1
1108,2
1109,0
1110,3
1111,3
1112,2
1113,1
1114,3
1115,3
1116,3
1117,1
1118,3
1119,2
1120,1
1121,3
1122,1
1123,2
1124,4
1125,1
1126,4
1127,3
1128,0
1129,1
1130,1
1131,1
1132,1
1133,3
1134,3
1135,2
1136,1
1137,3
1138,2
1139,1
1140,1
1141,1
1142,3
1143,1
1144,1
1145,3
1146,2
1147,2
1148,3
1149,2
1150,1
1151,4
1152,3
1153,3
1154,3
1155,4
1156,1
1157,3
1158,1
1159,1
1160,3
1161,2
1162,2
1163,3
1164,0
1165,4
1166,1
1167,0
1168,3
1169,3
1170,2
1171,1
1172,3
1173,4
1174,1
1175,1
1176,1
1177,1
1178,2
1179,3
1180,3
1181,2
1182,3
1183,3
1184,3
1185,3
1186,0
1187,3
1188,0
1189,4
1190,1
1191,1
1192,3
1193,1
1194,1
1195,1
1196,1
1197,3
1198,3
1199,4
1200,4
1201,2
1202,3
1203,2
1204,3
1205,1
1206,3
1207,1
1208,1
1209,3
1210,2
1211,1
1212,3
1213,4
1214,4
1215,3
1216,1
1217,2
1218,1
1219,0
1220,0
1221,1
1222,3
1223,3
1224,3
1225,1
1226,4
1227,3
1228,3
1229,1
1230,2
1231,3
1232,2
1233,1
1234,4
1235,0
1236,2
1237,4
1238,1
1239,1
1240,0
1241,3
1242,3
1243,2
1244,1
1245,4
1246,3
1247,0
1248,3
1249,1
1250,4
1251,3
1252,3
1253,1
1254,3
1255,1
1256,3
1257,4
1258,1
1259,1
1260,3
1261,3
1262,3
1263,3
1264,3
1265,0
1266,1
1267,3
1268,1
1269,3
1270,3
1271,3
1272,0
1273,0
1274,3
1275,2
1276,1
1277,1
1278,1
1279,1
1280,2
1281,1
1282,3
1283,4
1284,4
1285,4
1286,1
1287,1
1288,3
1289,1
1290,3
1291,1
1292,4
1293,4
1294,4
1295,1
1296,2
1297,1
1298,1
1299,2
1300,4
1301,2
1302,3
1303,3
1304,4
1305,4
1306,3
1307,3
1308,3
1309,1
1310,1
1311,0
1312,2
1313,4
1314,3
1315,1
1316,1
1317,3
1318,1
1319,0
1320,1
1321,1
1322,1
1323,2
1324,3
1325,3
1326,3
1327,1
1328,2
1329,3
1330,1
1331,1
1332,3
1333,3
1334,1
1335,0
1336,3
1337,3
1338,1
1339,2
1340,4
1341,4
1342,2
1343,2
1344,3
1345,3
1346,3
1347,2
1348,0
1349,2
1350,2
1351,2
1352,1
1353,3
1354,1
1355,2
1356,3
1357,3
1358,4
1359,2
1360,4
1361,1
1362,1
1363,3
1364,2
1365,3
1366,2
1367,2
1368,4
1369,3
1370,1
1371,3
1372,3
1373,3
1374,4
1375,1
1376,0
1377,1
1378,4
1379,2
1380,1
1381,4
1382,1
1383,0
1384,2
1385,3
1386,3
1387,3
1388,1
1389,1
1390,1
1391,3
1392,0
1393,1
1394,3
1395,3
1396,3
1397,4
1398,3
1399,0
1400,1
1401,0
1402,1
1403,2
1404,2
1405,1
1406,2
1407,1
1408,3
1409,4
1410,3
1411,2
1412,1
1413,3
1414,0
1415,0
1416,1
1417,3
1418,1
1419,4
1420,2
1421,3
1422,1
1423,0
1424,3
1425,4
1426,3
1427,1
1428,4
1429,1
1430,1
1431,2
1432,1
1433,0
1434,3
1435,3
1436,1
1437,1
1438,3
1439,2
1440,1
1441,3
1442,3
1443,2
1444,4
1445,3
1446,2
1447,2
1448,3
1449,1
1450,4
1451,1
1452,2
1453,1
1454,2
1455,2
1456,4
1457,1
1458,1
1459,4
1460,1
1461,3
1462,2
1463,3
1464,2
1465,1
1466,2
1467,1
1468,1
1469,0
1470,1
1471,3
1472,4
1473,0
1474,2
1475,2
1476,1
1477,4
1478,1
1479,3
1480,3
1481,1
1482,4
1483,1
1484,0
1485,1
1486,2
1487,2
1488,4
1489,1
1490,2
1491,1
1492,4
1493,3
1494,3
1495,3
1496,1
1497,1
1498,0
1499,2
1500,2
1501,4
1502,3
1503,3
1504,4
1505,3
1506,4
1507,1
1508,4
1509,2
1510,1
1511,3
1512,4
1513,1
1514,1
1515,2
1516,4
1517,0
1518,1
1519,4
1520,4
1521,3
1522,3
1523,1
1524,1
1525,2
1526,1
1527,0
1528,1
1529,3
1530,2
1531,3
1532,1
1533,0
1534,1
1535,1
1536,1
1537,0
1538,3
1539,1
1540,4
1541,2
1542,4
1543,1
1544,1
1545,3
1546,3
1547,3
1548,1
1549,3
1550,3
1551,1
1552,1
1553,1
1554,3
1555,3
1556,4
1557,3
1558,3
1559,1
1560,1
1561,1
1562,4
1563,1
1564,3
1565,1
1566,4
1567,3
1568,3
1569,2
1570,1
1571,4
1572,4
1573,0
1574,2
1575,1
1576,3
1577,1
1578,3
1579,1
1580,1
1581,3
1582,3
1583,0
1584,3
1585,1
1586,1
1587,1
1588,3
1589,2
1590,2
1591,3
1592,3
1593,4
1594,4
1595,3
1596,3
